epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_rmse_degree,learning_rate
1,2.95282106,5.275810,2.94816707,5.060729,5.50597761,0.0003
2,2.91421027,7.426619,2.80688773,13.663968,4.15574818,0.0003
3,2.59504311,15.650304,2.41035492,20.040486,4.43086798,0.0003
4,2.30931752,20.736336,2.22285393,24.089069,4.00025303,0.0003
5,2.18697595,24.962045,2.13780256,25.708502,3.71178231,0.0003
6,2.12133202,26.214575,2.08555696,29.554656,3.86251580,0.0003
7,2.07364670,27.998482,2.04265987,30.769231,3.62738125,0.0003
8,2.04110125,29.491397,2.03220778,28.744939,3.19839914,0.0003
9,2.01139300,30.010121,1.98855801,32.388664,3.44931490,0.0003
10,1.99057887,30.326417,1.96323559,33.299595,3.70618806,0.0003
11,1.96622294,31.869939,1.97259101,33.805668,3.28889064,0.0003
12,1.94957332,33.375506,1.92964920,34.817814,3.81253526,0.0003
13,1.93147559,33.729757,1.92184535,35.425101,3.46527014,0.0003
14,1.91371658,34.906377,1.91445070,37.044534,3.74706363,0.0003
15,1.89636385,35.260628,1.88560776,36.234818,3.73393997,0.0003
16,1.88634815,35.969130,1.90719147,36.639676,3.53739422,0.0003
17,1.87114011,36.639676,1.86277888,37.044534,3.50447949,0.0003
18,1.85968907,36.158907,1.85913926,37.550607,4.13560623,0.0003
19,1.84834978,36.601721,1.83711916,38.663968,3.51327730,0.0003
20,1.83636407,37.095142,1.83176277,37.651822,3.63421104,0.0003
21,1.82627079,36.424595,1.83288883,39.271255,3.62500873,0.0003
22,1.81739262,37.651822,1.82758322,39.372470,3.47868000,0.0003
23,1.80452673,38.208502,1.81154469,38.562753,3.42945092,0.0003
24,1.80006421,38.322368,1.81708999,37.348178,3.68468765,0.0003
25,1.79335876,38.107287,1.82788148,38.259109,3.98593174,0.0003
26,1.79135201,38.284413,1.81239313,38.360324,3.43372769,0.0003
27,1.78276800,38.626012,1.78193708,38.967611,3.70495893,0.0003
28,1.77124909,39.119433,1.78052567,39.068826,3.50722216,0.0003
29,1.76631453,38.777834,1.78082615,38.967611,3.45825305,0.0003
30,1.75851992,39.144737,1.77542751,37.449393,3.80190129,0.0003
