epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_rmse_degree,learning_rate
1,2.94974855,5.617409,2.93811282,7.287449,6.34189527,0.0003
2,2.89754162,7.654352,2.70197349,9.514170,5.21025538,0.0003
3,2.66181557,9.893725,2.61678324,10.728745,4.66336397,0.0003
4,2.52645330,11.778846,2.49215884,12.955466,3.61214214,0.0003
5,2.44882610,16.004555,2.53360739,16.801619,3.96747914,0.0003
6,2.37975629,20.609818,2.35261221,19.736842,4.11130563,0.0003
7,2.28896007,22.785931,2.24780372,26.923077,3.49102377,0.0003
8,2.22400749,25.215081,2.33468665,21.052632,5.35954255,0.0003
9,2.20556814,26.100709,2.19374684,25.101215,4.90785539,0.0003
10,2.16636775,27.479757,2.14812763,29.352227,3.13527662,0.0003
11,2.12889377,28.947368,2.08653648,29.757085,3.75097828,0.0003
12,2.10938019,28.871457,2.07804296,32.894737,3.58048014,0.0003
13,2.09419683,29.200405,2.09203410,33.805668,3.80176818,0.0003
14,2.08168864,30.313765,2.07185098,33.906883,4.04804146,0.0003
15,2.05638283,30.668016,2.02271892,36.032389,3.27439459,0.0003
16,2.04081281,31.389170,2.01967111,32.287449,3.67340811,0.0003
17,2.03662437,31.667510,2.02362728,35.222672,3.36163759,0.0003
18,2.01663603,32.578441,1.99710244,34.109312,3.40308267,0.0003
19,2.02813999,32.224190,1.98950739,35.829960,3.53753728,0.0003
20,2.00061693,32.186235,1.97300887,32.894737,3.80163506,0.0003
21,2.00233867,32.312753,2.00505060,35.627530,3.22785197,0.0003
22,1.98496141,33.426113,1.96482027,35.222672,3.37035781,0.0003
23,1.98423455,33.868927,2.08437307,30.769231,4.51627735,0.0003
24,1.99308666,33.337551,1.98252096,36.437247,4.18620252,0.0003
25,1.96831512,34.185223,2.06618855,26.315789,3.37680826,0.0003
26,1.95173645,34.299089,1.94941446,33.603239,4.08624136,0.0003
27,1.96980641,33.666498,2.04254027,31.578947,3.09841934,0.0003
28,1.94110089,35.096154,1.94192270,38.259109,3.47241880,0.0003
29,1.94791618,34.615385,1.94282711,35.121457,3.27640318,0.0003
30,1.93887657,35.741397,1.93663464,38.056680,3.33897970,0.0003
